,city_name,lat,long,temp,cloudiness,humidity,wind_speed,country_code,date_of_measurement
312,pouebo,-20.4,164.57,77.27,7,78,9.28,NC,1608667229
313,praya,14.92,-23.51,73.4,0,73,13.87,CV,1608667204
314,harper,4.38,-7.72,78.69,12,86,6.02,LR,1608667229
315,pevek,69.7,170.31,-13.09,14,88,11.23,RU,1608667229
316,touros,-5.2,-35.46,84.2,40,58,16.11,BR,1608667229
317,arco,45.92,10.89,42.01,100,95,0.89,IT,1608667229
318,jesup,31.61,-81.89,68.0,1,24,9.17,US,1608667229
319,traiguen,-38.25,-72.68,74.57,0,37,13.67,CL,1608667229
320,cherskiy,68.75,161.3,-33.16,100,83,4.43,RU,1608667229
321,pabrade,55.0,25.78,32.0,90,92,18.34,LT,1608667229
322,gainesville,29.65,-82.32,70.0,1,30,4.7,US,1608667229
323,fukue,32.69,128.84,52.16,1,50,4.74,JP,1608667229
324,katangli,51.71,143.23,-1.68,0,87,5.95,RU,1608667229
325,scarborough,54.28,-0.4,37.99,85,92,1.95,GB,1608667229
326,san miguel,13.48,-88.18,95.0,0,46,9.17,SV,1608667229
327,nacala,-14.54,40.67,80.92,38,77,4.54,MZ,1608667229
328,muisne,0.6,-80.03,84.2,40,74,10.29,EC,1608667230
329,isangel,-19.55,169.27,79.84,1,77,5.21,VU,1608667230
330,bandarbeyla,9.49,50.81,74.71,41,72,21.34,SO,1608667230
331,nanortalik,60.14,-45.24,32.4,100,97,8.43,GL,1608667230
332,kaseda,31.42,130.32,39.0,11,69,3.0,JP,1608667230
333,khuldabad,20.05,75.18,55.17,43,40,3.8,IN,1608667230
334,rusape,-18.53,32.13,65.53,16,90,5.17,ZW,1608667230
335,kalach-na-donu,48.69,43.53,8.6,75,84,13.42,RU,1608667230
336,bar harbor,44.39,-68.2,42.01,20,69,6.93,US,1608667038
337,brae,60.4,-1.35,42.8,100,87,16.11,GB,1608667230
338,warrington,53.39,-2.58,42.01,100,93,8.05,GB,1608667230
339,coquimbo,-29.95,-71.34,64.4,20,68,12.75,CL,1608667230
340,atambua,-9.11,124.89,75.15,100,88,3.78,ID,1608667231
341,kalmunai,7.42,81.82,75.29,100,91,6.13,LK,1608667231
342,jumla,29.27,82.18,41.09,100,47,3.96,NP,1608667231
343,kulhudhuffushi,6.62,73.07,79.45,100,86,20.38,MV,1608667231
344,half moon bay,37.46,-122.43,57.2,1,54,4.7,US,1608667231
345,natchitoches,31.77,-93.13,69.8,1,46,7.83,US,1608667231
346,simbahan,6.3,120.58,82.42,80,77,8.1,PH,1608667231
347,sunrise manor,36.21,-115.07,66.0,1,28,4.7,US,1608667231
348,kadoshkino,54.03,44.42,8.44,29,96,7.36,RU,1608667231
349,guasdualito,7.24,-70.73,85.33,6,71,5.03,VE,1608667231
350,danjiangkou,32.54,111.51,41.56,0,67,3.13,CN,1608667231
351,salvador,13.83,-88.92,87.8,40,58,6.93,SV,1608667231
352,saskylakh,71.92,114.08,-20.09,100,86,6.29,RU,1608667232
353,strezhevoy,60.73,77.59,-18.4,0,75,4.47,RU,1608667232
354,itaqui,-29.13,-56.55,84.58,0,27,7.34,BR,1608667232
355,mumbwa,-14.98,27.06,68.36,40,87,2.39,ZM,1608667232
356,manuk mangkaw,4.8,119.85,82.71,86,78,7.45,PH,1608667232
357,pontianak,-0.03,109.33,75.74,100,91,3.94,ID,1608667232
358,victor harbor,-35.57,138.62,59.0,77,78,1.01,AU,1608667232
359,aklavik,68.22,-135.01,-23.8,20,74,6.93,CA,1608667210
360,lata,40.16,-8.33,57.2,20,82,5.82,PT,1608667232
361,ati,13.22,18.34,80.47,0,16,10.0,TD,1608667232
362,craig,40.52,-107.55,39.2,90,60,4.7,US,1608667232
363,lavrentiya,65.58,-171.0,12.52,100,94,19.39,RU,1608667232
364,pulandian,39.4,121.97,30.2,46,86,2.24,CN,1608667232
365,saldanha,-33.01,17.94,66.2,1,82,11.41,ZA,1608667232
366,mahibadhoo,3.78,72.97,81.72,97,81,17.98,MV,1608667233
367,zheleznodorozhnyy,55.75,38.0,26.6,90,86,4.47,RU,1608667233
368,evensk,61.95,159.23,-17.57,92,77,8.03,RU,1608667233
369,muskogee,35.58,-95.33,66.0,1,45,16.11,US,1608667233
370,paamiut,61.99,-49.67,32.76,99,95,18.34,GL,1608667233
371,adolfo lopez mateos,28.47,-107.3,64.0,32,12,7.0,MX,1608667233
372,ardakan,32.31,54.02,39.2,0,65,2.24,IR,1608667233
373,arman,59.7,150.17,-8.52,77,83,15.93,RU,1608667233
374,vao,-22.67,167.48,76.15,93,74,8.55,NC,1608667233
375,jinsha,32.09,121.07,41.0,75,79,5.79,CN,1608667233
376,bathurst,-33.42,149.58,53.01,93,81,3.0,AU,1608667073
377,davila,18.47,120.58,77.47,0,81,8.39,PH,1608667233
378,ojinaga,29.57,-104.42,66.99,1,12,1.83,MX,1608667234
379,asau,46.43,26.4,32.0,90,93,12.75,RO,1608667234
380,inhambane,-23.86,35.38,80.6,20,78,4.7,MZ,1608667156
381,pimentel,-6.84,-79.93,78.8,0,54,19.46,PE,1608667234
